work_id,mp_id,mp_name,state,constituency,district,house,year,category,fund_received_cr,sanctioned_amount_cr,final_expenditure_cr,sanction_date,status,completion_date,implementing_agency,sc_st_area,data_source,utilization_pct
REAL-1,MP0001,V.vijayasai Reddy,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Parliamentary Member,2025,All recommended works,22.0,27.8,19.89,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,90.4
REAL-1,MP0015,V.vijayasai Reddy,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Parliamentary Member,2025,All recommended works,22.0,27.8,19.89,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,90.4
REAL-2,MP0002,C.M Ramesh,Andhra Pradesh,Cuddapah,Cuddapah,Parliamentary Member,2025,All recommended works,10.0,21.06,8.35,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,83.5
REAL-3,MP0003,Kanakamedala Ravindra Kumar,Andhra Pradesh,Ntr,Ntr,Parliamentary Member,2025,All recommended works,12.0,27.01,11.6,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,96.7
REAL-4,MP0004,Ryaga Krishnaiah,Andhra Pradesh,Kurnool,Kurnool,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-5,MP0005,Y.S. Chowdary,Andhra Pradesh,Krishna,Krishna,Parliamentary Member,2025,All recommended works,15.0,35.84,14.19,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,94.6
REAL-6,MP0006,Shri. Venkataramana Rao Mopidevi,Andhra Pradesh,Bapatla,Bapatla,Parliamentary Member,2025,All recommended works,2.0,3.34,2.32,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,116.0
REAL-7,MP0007,Niranjan Reddy Sirgapoor,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-8,MP0008,Prabhakar Reddy Vemireddy,Andhra Pradesh,Nellore,Nellore,Parliamentary Member,2025,All recommended works,10.0,16.79,9.62,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,96.2
REAL-9,MP0009,Shri. Parimal Nathwani,Andhra Pradesh,Kadapa,Kadapa,Parliamentary Member,2025,All recommended works,2.0,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-10,MP0010,Shri. Ayodhya Rami Reddy Alla,Andhra Pradesh,Guntur,Guntur,Parliamentary Member,2025,All recommended works,4.5,7.32,2.52,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,56.0
REAL-11,MP0011,Shri. T.G Venkatesh,Andhra Pradesh,Kurnool,Kurnool,Parliamentary Member,2025,All recommended works,17.5,23.64,15.88,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,90.7
REAL-12,MP0012,Masthan Rao Beeda,Andhra Pradesh,Nellore,Nellore,Parliamentary Member,2025,All recommended works,2.5,1.86,0.46,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,18.4
REAL-13,MP0013,Suresh Prabhu,Andhra Pradesh,Krishna,Krishna,Parliamentary Member,2025,All recommended works,12.5,28.19,12.25,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,98.0
REAL-14,MP0014,Shri. Pilli Subhaschandra Bose,Andhra Pradesh,Dr. B.r. Ambedkar Konaseema,Dr. B.r. Ambedkar Konaseema,Parliamentary Member,2025,All recommended works,2.0,3.31,2.2,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,110.0
REAL-15,MP0001,V Vijayasai Reddy,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-15,MP0015,V Vijayasai Reddy,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-16,MP0016,Shri. Nabam Rebia,Arunachal Pradesh,Papum Pare,Papum Pare,Parliamentary Member,2025,All recommended works,7.0,6.29,6.38,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,91.1
REAL-17,MP0017,Pabitra Margherita,Assam,Kamrup Metropolitan,Kamrup Metropolitan,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
REAL-18,MP0018,Rwngwra Narzary,Assam,Chirang,Chirang,Parliamentary Member,2025,All recommended works,2.5,0.0,0.0,,Unknown,,Not available in source,,RS_Session_259_AU_2235_1.csv,0.0
