S.No,Name of MP (Shri/Smt/Dr./Ms/Prof./Adv.),State,Nodal District,Tenure of MP,Entitlement till his tenure,GOI Release (in Cr),Unreleased Amount (in Cr)
1,Ayodhya Rami Reddy Alla,Andhra Pradesh,Guntur,22.06.2020 to 21.06.2026,22,2,20
2,C.M Ramesh,Andhra Pradesh,Cuddapah,03.04.2018 to 02.04.2024,22,7.5,14.5
3,Kanakamedala Ravindra Kumar,Andhra Pradesh,Krishna,03.04.2018 to 02.04.2024,22,10,12
4,Parimal Nathwani,Andhra Pradesh,Kadapa,22.06.2020 to 21.06.2026,22,2,20
5,Pilli Subhaschandra Bose,Andhra Pradesh,East Godavari,22.06.2020 to 21.06.2026,22,2,20
6,Prabhakar Reddy Vemireddy,Andhra Pradesh,Nellore,03.04.2018 to 02.04.2024,22,10,12
7,Suresh Prabhu,Andhra Pradesh,Krishna,22.06.2016 to 21.06.2022,22,7.5,14.5
8,T.G Venkatesh,Andhra Pradesh,Kurnool,22.06.2016 to 21.06.2022,22,12.5,9.5
9,V.VIJAYASAI REDDY,Andhra Pradesh,Visakhapatnam,22.06.2016 to 21.06.2022,22,20,2
10,Venkataramana Rao Mopidevi,Andhra Pradesh,Guntur,22.06.2020 to 21.06.2026,22,2,20
11,Y.S. Chowdary,Andhra Pradesh,Krishna,22.06.2016 to 21.06.2022,22,7.5,14.5
12,Nabam Rebia,Arunachal Pradesh,Papum Pare,24.06.2020 to 23.06.2026,22,2,20
13,Ripun Bora,Assam,Sonitpur,03.04.2016 to 02.04.2022,22,22,0
14,Ajit Kumar Bhuyan,Assam,Kamrup Metropolitan,10.04.2020 to 09.04.2026,22,2,20
15,Bhubaneswar Kalita,Assam,Kamrup,10.04.2020 to 09.04.2026,22,2,20
16,Birendra Prasad Baishya,Assam,Kamrup Metropolitan,15.06.2019 to 14.06.2025,22,5,17
17,Kamakhya Prasad Tasa,Assam,Jorhat,15.06.2019 to 14.06.2025,22,5,17
18,Sarbananda Sonowal,Assam,Dibrugarh,27.09.2021 to 26.09.2027,29.5,2,27.5
19,Ranee Narah,Assam,Lakhimpur,03.04.2016 to 02.04.2022,22,22,0
20,Prem Chand Gupta,Bihar,Patna,10.04.2020 to 09.04.2026,22,2,20
21,Harivansh,Bihar,Nodal District Awaited,10.04.2020 to 09.04.2026,22,0,22
22,A. D. Singh,Bihar,Patna,10.04.2020 to 09.04.2026,22,2,20
23,Ram Nath Thakur,Bihar,Samastipur,10.04.2020 to 09.04.2026,22,2,20
24,Vivek Thakur,Bihar,Patna,10.04.2020 to 09.04.2026,22,2,20
25,Misha Bharti,Bihar,Patna,08.07.2016 to 07.07.2022,22,10,12
26,Satish Chandra Dubey,Bihar,Paschim Champaran,09.10.2019 to 07.07.2022,7,4.5,2.5
27,Gopal Narayan Singh,Bihar,Rohtas,08.07.2016 to 07.07.2022,22,19.5,2.5
28,Ram Chandra Prasad Singh,Bihar,Nodal District Awaited,08.07.2016 to 07.07.2022,22,0,22
