Sl. No.,State/UT,MP Name,District,Fund Received Goi (Rs. Crore),Works Recommended Cost (Rs. Crore),Actual Expenditure Incurred with Exp_Admin (Rs. Crore)
1,Andhra Pradesh,V.vijayasai Reddy,Visakhapatnam,22,27.8,19.89
2,Andhra Pradesh,C.M Ramesh,Cuddapah,10,21.06,8.35
3,Andhra Pradesh,Kanakamedala Ravindra Kumar,Ntr,12,27.01,11.6
4,Andhra Pradesh,Shri Ryaga Krishnaiah,Kurnool,2.5,0,0
5,Andhra Pradesh,Y.S. Chowdary,Krishna,15,35.84,14.19
6,Andhra Pradesh,Shri. Venkataramana Rao Mopidevi,Bapatla,2,3.34,2.32
7,Andhra Pradesh,Shri Niranjan Reddy Sirgapoor,Visakhapatnam,2.5,0,0
8,Andhra Pradesh,Prabhakar Reddy Vemireddy,Nellore,10,16.79,9.62
9,Andhra Pradesh,Shri. Parimal Nathwani,Kadapa,2,0,0
10,Andhra Pradesh,Shri. Ayodhya Rami Reddy Alla,Guntur,4.5,7.32,2.52
11,Andhra Pradesh,Shri. T.G Venkatesh,Kurnool,17.5,23.64,15.88
12,Andhra Pradesh,Shri Masthan Rao Beeda,Nellore,2.5,1.86,0.46
13,Andhra Pradesh,Suresh Prabhu,Krishna,12.5,28.19,12.25
14,Andhra Pradesh,Shri. Pilli Subhaschandra Bose,Dr. B.r. Ambedkar Konaseema,2,3.31,2.2
15,Andhra Pradesh,Shri V Vijayasai Reddy,Visakhapatnam,2.5,0,0
16,Arunachal Pradesh,Shri. Nabam Rebia,Papum Pare,7,6.29,6.38
17,Assam,Shri Pabitra Margherita,Kamrup Metropolitan,2.5,0,0
18,Assam,Shri Rwngwra Narzary,Chirang,2.5,0,0
19,Assam,Shri Biswajit Daimary,Kamrup Metropolitan,51,51.96,49.5
20,Assam,Smt Ranee Narah,Lakhimpur,22,20.17,19.99
21,Assam,Shri. Ajit Kumar Bhuyan,Kamrup Metropolitan,7,7,4.5
22,Assam,Sh. Ripun Bora,Sonitpur,22,20.08,20.04
23,Assam,Shri. Birendra Prasad Baishya,Kamrup Metropolitan,9.5,6.86,5.63
24,Assam,Shri. Biswajit Daimary,NA,0,0,0
25,Assam,Shri. Sarbananda Sonowal,Dibrugarh,4.5,1.96,1.72
26,Assam,Shri. Bhubaneswar Kalita,Kamrup,7,4.5,2.82
27,Assam,Shri Bhubaneswar Kalita,Kamrup,51,52.19,49
28,Assam,Shri. Kamakhya Prasad Tasa,Jorhat,7,4.88,3.59
